key,doi,title,year,role,relation,open_access
Chan2021,10.2196/13770,Mobile App-Based Self-Report Questionnaires for the Assessment and Monitoring of Bipolar Disorder: Systematic Review,2021,seed,monitoring-validity,true
Nicholas2015,10.2196/jmir.4581,Mobile Apps for Bipolar Disorder: A Systematic Review of Features and Content Quality,2015,seed,app-quality-privacy,true
AstillWright2026,10.1186/s40345-025-00407-5,Performance of active and passive ambulatory assessment measures and mood monitoring in bipolar disorder: a systematic review,2026,seed,adherence-performance,true
Anmella2022,10.1111/bdi.13243,Smartphone-based interventions in bipolar disorder: systematic review and meta-analyses of efficacy,2022,seed,efficacy-limits,true
Dargel2020,10.2196/18818,Toi Meme a Mobile Health Platform for Measuring Bipolar Illness Activity: Protocol for a Feasibility Study,2020,seed,feasibility-protocol,true
